length,weight,Cluster
-0.9054108542899921,0.01858254355574542,2
-1.5882548706046984,-0.26544438711008067,2
-1.3205800162093333,0.0343618174816243,2
-1.46807432373331,-0.12343092177716798,2
-0.8744552588837254,-0.09187237392540952,2
-1.1439510306559295,-0.24966511318420181,2
-1.131204609018055,-0.1707687435548053,2
-1.4043422155439376,-0.4863542220723899,2
-1.5755084489668238,-0.4390164002947518,2
-1.3132963467019767,-0.28122366103596025,2
-1.3843121243987062,-0.06031382607365107,2
-0.9764266319867217,-0.4390164002947518,2
-1.3114754293251374,-0.1707687435548053,2
-1.5718666142131454,-0.37589930459123494,2
-1.4881044148785414,-0.29700293496183916,2
-1.1330255263948943,-0.36012003066535603,2
-1.637419639779357,-0.37589930459123494,2
-1.3588192811229571,-0.21810656533244335,2
-1.2349968994978904,-0.5810298656276652,2
-1.4207304719354905,-0.4390164002947518,2
-0.9909939710014355,-0.312782208887718,2
-1.1694438739316784,-0.12343092177716798,2
-1.6319568876488395,-0.20232729140656378,2
-1.3442519421082433,-0.1865480174806849,2
-1.5336273492995216,-0.06031382607365107,2
-1.112995435249663,-0.3285614828135976,2
-1.5481946883142357,-0.37589930459123494,2
-1.2131458909758197,-0.29700293496183916,2
-1.619210466010965,-0.5179127699241484,2
-1.4735370758638278,-0.36012003066535603,2
-0.8780970936374038,-0.28122366103596025,2
-0.9236200280583843,-0.044534552147771495,2
-1.484462580124863,-0.5179127699241484,2
-1.2550269906431217,-0.1076516478512884,2
-1.247743321135765,-0.312782208887718,2
-1.542731936183718,0.06592036533338275,2
-1.1221000221338588,0.01858254355574542,2
-1.5536574404447534,-0.28122366103596025,2
-1.5299855145458434,-0.20232729140656378,2
-1.4116258850512944,-0.21810656533244335,2
-1.333326437847208,-0.13921019570304685,2
-1.520880927661647,-0.37589930459123494,2
-1.4771789106175062,-0.4547956742206314,2
-1.593717622735216,-0.2338858392583222,2
-1.2969080903104238,0.06592036533338275,2
-1.1694438739316784,-0.5021334959982687,2
-1.3442519421082433,-0.42323712636887295,2
-1.0019194752624705,-0.15498946962892643,2
-1.054726079190808,-0.028755278221892614,2
-1.2677734122809963,-0.20232729140656378,2
-1.3588192811229571,-0.21810656533244335,2
-1.4899253322553807,-0.5494713177759067,2
-1.1257418568875375,-0.1865480174806849,2
-1.520880927661647,-0.21810656533244335,2
-1.040158740176094,-0.1707687435548053,2
-1.1603392870474825,-0.29700293496183916,2
-1.5827921184741804,-0.2338858392583222,2
-1.3843121243987062,-0.2338858392583222,2
-1.0601888313213255,-0.07609309999952994,2
-1.4607906542259532,-0.2338858392583222,2
-1.4134468024281335,-0.312782208887718,2
-1.626494135518322,-0.312782208887718,2
-1.424372306689169,-0.1076516478512884,2
-1.0729352529592,-0.28122366103596025,2
-1.3642820332534746,-0.42323712636887295,2
-1.4098049676744553,-0.29700293496183916,2
-1.509955423400612,-0.29700293496183916,2
-1.5973594574888945,-0.15498946962892643,2
-1.542731936183718,-0.37589930459123494,2
-1.1293836916412159,-0.26544438711008067,2
-0.9199781933047059,-0.1076516478512884,2
-1.4462233152112394,-0.20232729140656378,2
-1.6829425742003374,-0.5968091395535441,2
-1.2932662555567453,-0.07609309999952994,2
-1.400700380790259,-0.4074578524429934,2
-1.0747561703360393,-0.1865480174806849,2
-1.056546996567647,-0.13921019570304685,2
-1.1530556175401254,-0.42323712636887295,2
-1.4480442325880787,-0.044534552147771495,2
-1.5991803748657336,-0.28122366103596025,2
-1.3187590988324942,-0.28122366103596025,2
-1.2495642385126042,-0.15498946962892643,2
-1.2550269906431217,-0.1865480174806849,2
-1.595538540112055,-0.3285614828135976,2
-1.333326437847208,-0.13921019570304685,2
-1.1457719480327688,-0.4074578524429934,2
-1.5299855145458434,-0.20232729140656378,2
-1.5117763407774512,0.01858254355574542,2
-1.626494135518322,-0.34434075673947645,2
-1.4316559761965257,-0.5968091395535441,2
-1.610105879126769,-0.4074578524429934,2
-1.5318064319226827,-0.24966511318420181,2
-1.2914453381799063,-0.5652505917017856,2
-1.4972090017627375,-0.5179127699241484,2
-1.6392405571561965,-0.4074578524429934,2
-1.5354482666763611,0.05014109140750388,2
-1.51541817553113,-0.28122366103596025,2
-1.2186086431063374,-0.2338858392583222,2
-1.5609411099521104,-0.2338858392583222,2
-1.1348464437717334,0.0028032696298658415,2
-1.508134506023773,-0.2338858392583222,2
-1.2841616686725492,-0.312782208887718,2
-1.5409110188068786,-0.15498946962892643,2
-1.1330255263948943,-0.20232729140656378,2
-1.3151172640788158,-0.5021334959982687,2
-1.5700456968363061,-0.29700293496183916,2
-1.6556288135477495,-0.13921019570304685,2
-1.5572992751984316,-0.29700293496183916,2
-1.3424310247314042,-0.4074578524429934,2
-1.3715657027608317,-0.5021334959982687,2
-1.568224779459467,-0.29700293496183916,2
-1.3624611158766355,-0.26544438711008067,2
-1.4316559761965257,0.0343618174816243,2
